SaleID,DateTime,MachineID,LocationID,ProductID,ProductName,Category,Price,Quantity,TotalLine,PaymentType,Route,Region,City,Zone
S00015,2024-03-22 22:31:00,MAQ018,CLIENTE012,P001,Coca-Cola,Bebida,1200,1,1200,Tarjeta,Ruta E,Valparaíso,Viña del Mar,Costa
S00016,2024-12-24 22:24:00,MAQ006,CLIENTE003,P007,Café en lata,Bebida,1300,3,3900,Tarjeta,Ruta E,Valparaíso,Viña del Mar,Costa
S00017,2024-07-24 23:43:00,MAQ009,CLIENTE029,P009,Jugo Natural,Bebida,1400,3,4200,QR,Ruta E,Antofagasta,Antofagasta,Norte
S00018,2024-05-11 12:33:00,MAQ009,CLIENTE032,P002,Pepsi,Bebida,1100,2,2200,Efectivo,Ruta B,Antofagasta,Antofagasta,Norte
S00019,2024-05-25 22:38:00,MAQ005,CLIENTE013,P008,Energética,Bebida,1600,2,3200,QR,Ruta A,Antofagasta,Antofagasta,Norte
S00020,2024-03-19 12:53:00,MAQ020,CLIENTE029,P010,Chocolate,Snack,1700,3,5100,Efectivo,Ruta C,Valparaíso,Viña del Mar,Costa
S00021,2024-08-27 01:10:00,MAQ019,CLIENTE006,P006,Galletas,Snack,1000,2,2000,QR,Ruta B,Región Metropolitana,Santiago,Centro
S00022,2024-06-21 19:24:00,MAQ010,CLIENTE045,P010,Chocolate,Snack,1700,2,3400,Tarjeta,Ruta A,Valparaíso,Viña del Mar,Costa
S00023,2024-09-29 22:32:00,MAQ005,CLIENTE050,P001,Coca-Cola,Bebida,1200,1,1200,Tarjeta,Ruta D,Araucanía,Temuco,Sur
S00024,2024-08-25 15:49:00,MAQ009,CLIENTE039,P005,Barra de Cereal,Snack,800,1,800,Tarjeta,Ruta C,Biobío,Concepción,Sur
S00025,2024-07-22 17:09:00,MAQ004,CLIENTE049,P006,Galletas,Snack,1000,3,3000,QR,Ruta B,Región Metropolitana,Santiago,Centro
S00026,2024-12-08 07:37:00,MAQ011,CLIENTE032,P009,Jugo Natural,Bebida,1400,2,2800,QR,Ruta C,Biobío,Concepción,Sur
S00027,2024-12-02 19:33:00,MAQ006,CLIENTE016,P003,Agua Mineral,Bebida,900,3,2700,QR,Ruta C,Valparaíso,Viña del Mar,Costa
S00028,2024-01-15 08:26:00,MAQ012,CLIENTE002,P008,Energética,Bebida,1600,3,4800,Efectivo,Ruta D,Biobío,Concepción,Sur
S00029,2024-08-26 15:57:00,MAQ019,CLIENTE045,P003,Agua Mineral,Bebida,900,1,900,QR,Ruta D,Valparaíso,Viña del Mar,Costa
S00030,2024-08-28 02:13:00,MAQ006,CLIENTE021,P001,Coca-Cola,Bebida,1200,1,1200,Tarjeta,Ruta B,Región Metropolitana,Santiago,Centro
S00031,2024-04-10 22:12:00,MAQ001,CLIENTE016,P005,Barra de Cereal,Snack,800,1,800,QR,Ruta A,Biobío,Concepción,Sur
S00032,2024-07-06 17:48:00,MAQ002,CLIENTE036,P009,Jugo Natural,Bebida,1400,1,1400,Tarjeta,Ruta E,Valparaíso,Viña del Mar,Costa
S00033,2024-09-09 04:52:00,MAQ017,CLIENTE023,P006,Galletas,Snack,1000,3,3000,Tarjeta,Ruta A,Araucanía,Temuco,Sur
S00034,2024-08-14 03:19:00,MAQ016,CLIENTE034,P008,Energética,Bebida,1600,2,3200,Efectivo,Ruta A,Araucanía,Temuco,Sur
S00035,2024-03-12 00:48:00,MAQ003,CLIENTE038,P002,Pepsi,Bebida,1100,2,2200,QR,Ruta A,Antofagasta,Antofagasta,Norte
S00036,2024-01-04 04:45:00,MAQ012,CLIENTE041,P006,Galletas,Snack,1000,2,2000,Tarjeta,Ruta E,Antofagasta,Antofagasta,Norte
S00037,2024-12-18 13:03:00,MAQ001,CLIENTE048,P006,Galletas,Snack,1000,1,1000,Efectivo,Ruta B,Antofagasta,Antofagasta,Norte
S00038,2024-12-06 09:13:00,MAQ018,CLIENTE031,P002,Pepsi,Bebida,1100,3,3300,QR,Ruta A,Antofagasta,Antofagasta,Norte
S00039,2024-06-29 17:42:00,MAQ020,CLIENTE010,P006,Galletas,Snack,1000,2,2000,QR,Ruta C,Antofagasta,Antofagasta,Norte
S00040,2024-03-04 09:09:00,MAQ020,CLIENTE039,P007,Café en lata,Bebida,1300,3,3900,Tarjeta,Ruta C,Región Metropolitana,Santiago,Centro
S00041,2024-06-10 08:17:00,MAQ015,CLIENTE034,P009,Jugo Natural,Bebida,1400,2,2800,Tarjeta,Ruta E,Antofagasta,Antofagasta,Norte
S00042,2024-03-27 13:45:00,MAQ002,CLIENTE001,P008,Energética,Bebida,1600,2,3200,Tarjeta,Ruta E,Biobío,Concepción,Sur
S00043,2024-05-23 15:29:00,MAQ016,CLIENTE034,P005,Barra de Cereal,Snack,800,1,800,Tarjeta,Ruta C,Valparaíso,Viña del Mar,Costa
S00044,2024-10-14 09:16:00,MAQ018,CLIENTE040,P005,Barra de Cereal,Snack,800,1,800,QR,Ruta E,Región Metropolitana,Santiago,Centro
S00045,2024-06-27 15:28:00,MAQ001,CLIENTE050,P005,Barra de Cereal,Snack,800,3,2400,Tarjeta,Ruta D,Araucanía,Temuco,Sur
S00046,2024-10-16 04:41:00,MAQ015,CLIENTE001,P007,Café en lata,Bebida,1300,3,3900,QR,Ruta B,Biobío,Concepción,Sur
S00047,2024-10-31 15:42:00,MAQ018,CLIENTE022,P003,Agua Mineral,Bebida,900,1,900,QR,Ruta D,Araucanía,Temuco,Sur
S00048,2024-02-28 03:24:00,MAQ019,CLIENTE030,P008,Energética,Bebida,1600,1,1600,Tarjeta,Ruta D,Antofagasta,Antofagasta,Norte
S00049,2024-01-25 16:32:00,MAQ013,CLIENTE033,P001,Coca-Cola,Bebida,1200,2,2400,Tarjeta,Ruta E,Valparaíso,Viña del Mar,Costa
S00050,2024-09-22 20:02:00,MAQ017,CLIENTE002,P007,Café en lata,Bebida,1300,2,2600,QR,Ruta B,Biobío,Concepción,Sur
S00051,2024-06-30 09:26:00,MAQ010,CLIENTE024,P007,Café en lata,Bebida,1300,2,2600,Efectivo,Ruta D,Antofagasta,Antofagasta,Norte
S00052,2024-11-28 23:45:00,MAQ011,CLIENTE018,P009,Jugo Natural,Bebida,1400,3,4200,QR,Ruta A,Valparaíso,Viña del Mar,Costa
S00053,2024-05-26 07:15:00,MAQ009,CLIENTE050,P010,Chocolate,Snack,1700,1,1700,Tarjeta,Ruta D,Araucanía,Temuco,Sur
S00054,2024-01-27 11:22:00,MAQ017,CLIENTE038,P002,Pepsi,Bebida,1100,1,1100,QR,Ruta A,Araucanía,Temuco,Sur
S00055,2024-02-16 01:53:00,MAQ005,CLIENTE014,P005,Barra de Cereal,Snack,800,1,800,Tarjeta,Ruta C,Biobío,Concepción,Sur
S00056,2024-06-20 11:54:00,MAQ017,CLIENTE004,P003,Agua Mineral,Bebida,900,1,900,QR,Ruta D,Antofagasta,Antofagasta,Norte
S00057,2024-10-31 08:21:00,MAQ009,CLIENTE017,P004,Papas Fritas,Snack,1500,3,4500,Tarjeta,Ruta A,Región Metropolitana,Santiago,Centro
S00058,2024-06-08 00:53:00,MAQ013,CLIENTE018,P008,Energética,Bebida,1600,3,4800,Efectivo,Ruta E,Araucanía,Temuco,Sur
S00059,2024-10-14 19:14:00,MAQ007,CLIENTE028,P002,Pepsi,Bebida,1100,3,3300,QR,Ruta D,Araucanía,Temuco,Sur
S00060,2024-06-16 23:41:00,MAQ014,CLIENTE006,P007,Café en lata,Bebida,1300,3,3900,Tarjeta,Ruta B,Araucanía,Temuco,Sur
S00061,2024-10-12 00:17:00,MAQ011,CLIENTE039,P005,Barra de Cereal,Snack,800,1,800,QR,Ruta A,Antofagasta,Antofagasta,Norte
S00062,2024-10-12 02:52:00,MAQ005,CLIENTE007,P006,Galletas,Snack,1000,2,2000,Efectivo,Ruta B,Valparaíso,Viña del Mar,Costa
S00063,2024-02-27 13:13:00,MAQ012,CLIENTE011,P008,Energética,Bebida,1600,2,3200,QR,Ruta C,Valparaíso,Viña del Mar,Costa
S00064,2024-12-28 05:52:00,MAQ008,CLIENTE032,P001,Coca-Cola,Bebida,1200,2,2400,Efectivo,Ruta B,Araucanía,Temuco,Sur
S00065,2024-06-13 07:29:00,MAQ007,CLIENTE018,P007,Café en lata,Bebida,1300,3,3900,Efectivo,Ruta D,Región Metropolitana,Santiago,Centro
S00066,2024-09-07 20:19:00,MAQ009,CLIENTE050,P007,Café en lata,Bebida,1300,2,2600,Efectivo,Ruta C,Antofagasta,Antofagasta,Norte
S00067,2024-12-22 15:08:00,MAQ012,CLIENTE022,P004,Papas Fritas,Snack,1500,3,4500,Efectivo,Ruta D,Antofagasta,Antofagasta,Norte
S00068,2024-07-14 11:54:00,MAQ005,CLIENTE022,P010,Chocolate,Snack,1700,2,3400,QR,Ruta A,Araucanía,Temuco,Sur
S00069,2024-09-23 02:08:00,MAQ016,CLIENTE026,P006,Galletas,Snack,1000,1,1000,Tarjeta,Ruta E,Región Metropolitana,Santiago,Centro
S00070,2024-01-29 05:25:00,MAQ014,CLIENTE023,P006,Galletas,Snack,1000,3,3000,Efectivo,Ruta C,Región Metropolitana,Santiago,Centro
S00071,2024-03-11 21:22:00,MAQ011,CLIENTE039,P006,Galletas,Snack,1000,2,2000,Efectivo,Ruta A,Biobío,Concepción,Sur
S00072,2024-02-18 11:55:00,MAQ007,CLIENTE048,P005,Barra de Cereal,Snack,800,2,1600,Efectivo,Ruta A,Antofagasta,Antofagasta,Norte
S00073,2024-05-12 22:55:00,MAQ016,CLIENTE050,P004,Papas Fritas,Snack,1500,2,3000,Efectivo,Ruta E,Araucanía,Temuco,Sur
S00074,2024-11-22 20:37:00,MAQ004,CLIENTE017,P002,Pepsi,Bebida,1100,1,1100,Efectivo,Ruta D,Antofagasta,Antofagasta,Norte
S00075,2024-05-24 15:28:00,MAQ018,CLIENTE042,P008,Energética,Bebida,1600,2,3200,Tarjeta,Ruta E,Región Metropolitana,Santiago,Centro
S00076,2024-05-07 02:02:00,MAQ004,CLIENTE016,P006,Galletas,Snack,1000,3,3000,QR,Ruta B,Antofagasta,Antofagasta,Norte
S00077,2024-02-27 17:43:00,MAQ002,CLIENTE013,P009,Jugo Natural,Bebida,1400,1,1400,Tarjeta,Ruta B,Biobío,Concepción,Sur
S00078,2024-04-24 23:46:00,MAQ005,CLIENTE046,P004,Papas Fritas,Snack,1500,3,4500,QR,Ruta C,Biobío,Concepción,Sur
S00079,2024-04-01 22:19:00,MAQ002,CLIENTE046,P002,Pepsi,Bebida,1100,3,3300,Tarjeta,Ruta E,Antofagasta,Antofagasta,Norte
S00080,2024-06-08 18:53:00,MAQ018,CLIENTE008,P001,Coca-Cola,Bebida,1200,2,2400,QR,Ruta A,Biobío,Concepción,Sur
S00081,2024-11-12 05:46:00,MAQ020,CLIENTE044,P003,Agua Mineral,Bebida,900,1,900,Tarjeta,Ruta B,Valparaíso,Viña del Mar,Costa
S00082,2024-02-06 04:51:00,MAQ004,CLIENTE044,P001,Coca-Cola,Bebida,1200,2,2400,Tarjeta,Ruta C,Araucanía,Temuco,Sur
S00083,2024-10-08 12:33:00,MAQ001,CLIENTE012,P001,Coca-Cola,Bebida,1200,1,1200,Efectivo,Ruta E,Valparaíso,Viña del Mar,Costa
S00084,2024-10-27 13:00:00,MAQ020,CLIENTE034,P009,Jugo Natural,Bebida,1400,1,1400,Efectivo,Ruta E,Biobío,Concepción,Sur
S00085,2024-01-29 03:26:00,MAQ014,CLIENTE024,P006,Galletas,Snack,1000,3,3000,Efectivo,Ruta E,Biobío,Concepción,Sur
S00086,2024-09-23 22:22:00,MAQ018,CLIENTE046,P008,Energética,Bebida,1600,2,3200,Efectivo,Ruta B,Antofagasta,Antofagasta,Norte
S00087,2024-03-22 16:20:00,MAQ001,CLIENTE001,P001,Coca-Cola,Bebida,1200,3,3600,Tarjeta,Ruta D,Biobío,Concepción,Sur
S00088,2024-02-20 06:30:00,MAQ018,CLIENTE009,P001,Coca-Cola,Bebida,1200,1,1200,Efectivo,Ruta C,Araucanía,Temuco,Sur
S00089,2024-09-23 04:04:00,MAQ003,CLIENTE015,P004,Papas Fritas,Snack,1500,3,4500,Efectivo,Ruta B,Antofagasta,Antofagasta,Norte
S00090,2024-05-27 19:18:00,MAQ007,CLIENTE029,P009,Jugo Natural,Bebida,1400,3,4200,QR,Ruta D,Biobío,Concepción,Sur
S00091,2024-05-10 05:45:00,MAQ008,CLIENTE022,P004,Papas Fritas,Snack,1500,1,1500,QR,Ruta A,Antofagasta,Antofagasta,Norte
S00092,2024-09-25 01:34:00,MAQ011,CLIENTE035,P006,Galletas,Snack,1000,2,2000,Tarjeta,Ruta B,Araucanía,Temuco,Sur
S00093,2024-01-10 19:46:00,MAQ010,CLIENTE004,P001,Coca-Cola,Bebida,1200,1,1200,Tarjeta,Ruta D,Antofagasta,Antofagasta,Norte
S00094,2024-10-31 17:15:00,MAQ018,CLIENTE041,P006,Galletas,Snack,1000,3,3000,Tarjeta,Ruta B,Biobío,Concepción,Sur
S00095,2024-07-20 19:53:00,MAQ007,CLIENTE007,P003,Agua Mineral,Bebida,900,3,2700,QR,Ruta B,Antofagasta,Antofagasta,Norte
S00096,2024-05-26 03:14:00,MAQ020,CLIENTE025,P004,Papas Fritas,Snack,1500,3,4500,Tarjeta,Ruta B,Biobío,Concepción,Sur
S00097,2024-07-23 04:42:00,MAQ008,CLIENTE039,P003,Agua Mineral,Bebida,900,1,900,Tarjeta,Ruta A,Araucanía,Temuco,Sur
S00098,2024-03-26 02:53:00,MAQ013,CLIENTE035,P001,Coca-Cola,Bebida,1200,1,1200,Efectivo,Ruta C,Biobío,Concepción,Sur
S00099,2024-08-10 10:23:00,MAQ012,CLIENTE004,P009,Jugo Natural,Bebida,1400,3,4200,Tarjeta,Ruta B,Valparaíso,Viña del Mar,Costa
S00100,2024-11-11 01:31:00,MAQ016,CLIENTE023,P003,Agua Mineral,Bebida,900,2,1800,Efectivo,Ruta B,Biobío,Concepción,Sur
S00101,2024-08-01 02:26:00,MAQ015,CLIENTE011,P010,Chocolate,Snack,1700,1,1700,Efectivo,Ruta E,Araucanía,Temuco,Sur
S00102,2024-05-20 19:44:00,MAQ020,CLIENTE027,P008,Energética,Bebida,1600,1,1600,Tarjeta,Ruta D,Biobío,Concepción,Sur
S00103,2024-02-28 23:29:00,MAQ016,CLIENTE006,P009,Jugo Natural,Bebida,1400,3,4200,Tarjeta,Ruta A,Biobío,Concepción,Sur
S00104,2024-10-17 01:24:00,MAQ011,CLIENTE026,P008,Energética,Bebida,1600,2,3200,Tarjeta,Ruta A,Antofagasta,Antofagasta,Norte
S00105,2024-05-19 16:49:00,MAQ017,CLIENTE019,P002,Pepsi,Bebida,1100,2,2200,Tarjeta,Ruta A,Antofagasta,Antofagasta,Norte
S00106,2024-05-30 07:08:00,MAQ019,CLIENTE050,P008,Energética,Bebida,1600,3,4800,Tarjeta,Ruta C,Región Metropolitana,Santiago,Centro
S00107,2024-09-11 14:40:00,MAQ012,CLIENTE010,P004,Papas Fritas,Snack,1500,1,1500,Efectivo,Ruta C,Araucanía,Temuco,Sur
S00108,2024-06-30 06:44:00,MAQ020,CLIENTE002,P004,Papas Fritas,Snack,1500,1,1500,Tarjeta,Ruta A,Antofagasta,Antofagasta,Norte
S00109,2024-07-29 18:21:00,MAQ019,CLIENTE040,P009,Jugo Natural,Bebida,1400,3,4200,Efectivo,Ruta C,Valparaíso,Viña del Mar,Costa
S00110,2024-03-16 06:46:00,MAQ005,CLIENTE040,P010,Chocolate,Snack,1700,2,3400,Efectivo,Ruta B,Biobío,Concepción,Sur
S00111,2024-06-26 14:59:00,MAQ005,CLIENTE015,P005,Barra de Cereal,Snack,800,2,1600,Tarjeta,Ruta C,Biobío,Concepción,Sur
S00112,2024-10-16 08:51:00,MAQ010,CLIENTE047,P003,Agua Mineral,Bebida,900,1,900,Tarjeta,Ruta E,Antofagasta,Antofagasta,Norte
S00113,2024-12-27 22:08:00,MAQ018,CLIENTE002,P001,Coca-Cola,Bebida,1200,1,1200,Tarjeta,Ruta D,Araucanía,Temuco,Sur
S00114,2024-03-09 17:40:00,MAQ016,CLIENTE029,P006,Galletas,Snack,1000,3,3000,Efectivo,Ruta E,Antofagasta,Antofagasta,Norte
S00115,2024-01-06 11:38:00,MAQ009,CLIENTE039,P001,Coca-Cola,Bebida,1200,3,3600,QR,Ruta A,Araucanía,Temuco,Sur
S00116,2024-05-02 21:01:00,MAQ010,CLIENTE020,P007,Café en lata,Bebida,1300,3,3900,QR,Ruta B,Araucanía,Temuco,Sur
S00117,2024-01-17 18:43:00,MAQ010,CLIENTE030,P008,Energética,Bebida,1600,2,3200,QR,Ruta B,Valparaíso,Viña del Mar,Costa
S00118,2024-04-05 14:28:00,MAQ012,CLIENTE011,P010,Chocolate,Snack,1700,1,1700,Tarjeta,Ruta D,Biobío,Concepción,Sur
S00119,2024-09-22 23:54:00,MAQ002,CLIENTE008,P008,Energética,Bebida,1600,2,3200,Efectivo,Ruta A,Antofagasta,Antofagasta,Norte
S00120,2024-07-30 03:42:00,MAQ012,CLIENTE014,P004,Papas Fritas,Snack,1500,3,4500,Tarjeta,Ruta A,Región Metropolitana,Santiago,Centro
S00121,2024-03-27 20:42:00,MAQ009,CLIENTE017,P002,Pepsi,Bebida,1100,1,1100,Tarjeta,Ruta D,Araucanía,Temuco,Sur
S00122,2024-10-24 01:33:00,MAQ008,CLIENTE030,P008,Energética,Bebida,1600,3,4800,Tarjeta,Ruta B,Antofagasta,Antofagasta,Norte
S00123,2024-11-10 23:44:00,MAQ011,CLIENTE025,P009,Jugo Natural,Bebida,1400,1,1400,Efectivo,Ruta B,Biobío,Concepción,Sur
S00124,2024-03-29 11:59:00,MAQ018,CLIENTE002,P006,Galletas,Snack,1000,1,1000,Efectivo,Ruta B,Valparaíso,Viña del Mar,Costa
S00125,2024-10-07 11:49:00,MAQ004,CLIENTE034,P010,Chocolate,Snack,1700,1,1700,Tarjeta,Ruta E,Araucanía,Temuco,Sur
S00126,2024-06-16 00:17:00,MAQ019,CLIENTE018,P002,Pepsi,Bebida,1100,1,1100,QR,Ruta C,Antofagasta,Antofagasta,Norte
S00127,2024-07-22 12:20:00,MAQ020,CLIENTE035,P005,Barra de Cereal,Snack,800,3,2400,Efectivo,Ruta C,Biobío,Concepción,Sur
S00128,2024-02-10 10:35:00,MAQ009,CLIENTE042,P003,Agua Mineral,Bebida,900,2,1800,Efectivo,Ruta A,Valparaíso,Viña del Mar,Costa
S00129,2024-01-04 03:09:00,MAQ016,CLIENTE018,P003,Agua Mineral,Bebida,900,1,900,QR,Ruta D,Biobío,Concepción,Sur
S00130,2024-07-15 18:35:00,MAQ013,CLIENTE026,P001,Coca-Cola,Bebida,1200,2,2400,Tarjeta,Ruta C,Valparaíso,Viña del Mar,Costa
S00131,2024-10-16 19:56:00,MAQ004,CLIENTE016,P001,Coca-Cola,Bebida,1200,3,3600,Efectivo,Ruta B,Valparaíso,Viña del Mar,Costa
S00132,2024-08-28 16:56:00,MAQ006,CLIENTE016,P003,Agua Mineral,Bebida,900,1,900,QR,Ruta A,Región Metropolitana,Santiago,Centro
S00133,2024-11-20 09:50:00,MAQ012,CLIENTE034,P008,Energética,Bebida,1600,3,4800,Efectivo,Ruta D,Antofagasta,Antofagasta,Norte
S00134,2024-11-16 17:03:00,MAQ018,CLIENTE010,P002,Pepsi,Bebida,1100,1,1100,Efectivo,Ruta A,Valparaíso,Viña del Mar,Costa
S00135,2024-06-25 02:55:00,MAQ015,CLIENTE036,P004,Papas Fritas,Snack,1500,2,3000,Tarjeta,Ruta B,Biobío,Concepción,Sur
S00136,2024-11-17 00:37:00,MAQ008,CLIENTE031,P005,Barra de Cereal,Snack,800,2,1600,Tarjeta,Ruta E,Araucanía,Temuco,Sur
S00137,2024-10-30 23:42:00,MAQ010,CLIENTE009,P008,Energética,Bebida,1600,2,3200,QR,Ruta A,Antofagasta,Antofagasta,Norte
S00138,2024-09-05 17:01:00,MAQ012,CLIENTE009,P010,Chocolate,Snack,1700,2,3400,Efectivo,Ruta D,Araucanía,Temuco,Sur
S00139,2024-05-06 09:11:00,MAQ004,CLIENTE016,P010,Chocolate,Snack,1700,2,3400,Efectivo,Ruta C,Biobío,Concepción,Sur
S00140,2024-09-03 00:38:00,MAQ004,CLIENTE012,P002,Pepsi,Bebida,1100,1,1100,QR,Ruta B,Antofagasta,Antofagasta,Norte
S00141,2024-04-03 14:05:00,MAQ003,CLIENTE032,P003,Agua Mineral,Bebida,900,2,1800,Efectivo,Ruta C,Araucanía,Temuco,Sur
S00142,2024-08-05 15:48:00,MAQ017,CLIENTE002,P009,Jugo Natural,Bebida,1400,3,4200,Tarjeta,Ruta B,Antofagasta,Antofagasta,Norte
S00143,2024-10-28 15:16:00,MAQ011,CLIENTE032,P009,Jugo Natural,Bebida,1400,1,1400,QR,Ruta B,Araucanía,Temuco,Sur
S00144,2024-10-28 06:17:00,MAQ006,CLIENTE004,P004,Papas Fritas,Snack,1500,3,4500,Efectivo,Ruta A,Valparaíso,Viña del Mar,Costa
S00145,2024-09-03 15:43:00,MAQ004,CLIENTE018,P010,Chocolate,Snack,1700,1,1700,Tarjeta,Ruta E,Antofagasta,Antofagasta,Norte
S00146,2024-07-11 16:24:00,MAQ016,CLIENTE031,P004,Papas Fritas,Snack,1500,3,4500,QR,Ruta A,Valparaíso,Viña del Mar,Costa
S00147,2024-12-17 12:13:00,MAQ014,CLIENTE028,P010,Chocolate,Snack,1700,3,5100,Tarjeta,Ruta C,Biobío,Concepción,Sur
S00148,2024-08-03 11:29:00,MAQ019,CLIENTE006,P008,Energética,Bebida,1600,3,4800,QR,Ruta D,Antofagasta,Antofagasta,Norte
S00149,2024-01-09 00:33:00,MAQ001,CLIENTE021,P007,Café en lata,Bebida,1300,2,2600,QR,Ruta B,Antofagasta,Antofagasta,Norte
S00150,2024-07-04 17:50:00,MAQ003,CLIENTE035,P003,Agua Mineral,Bebida,900,3,2700,Efectivo,Ruta A,Biobío,Concepción,Sur
S00151,2024-03-25 19:36:00,MAQ005,CLIENTE015,P003,Agua Mineral,Bebida,900,1,900,QR,Ruta D,Región Metropolitana,Santiago,Centro
S00152,2024-01-12 23:23:00,MAQ004,CLIENTE018,P010,Chocolate,Snack,1700,2,3400,Tarjeta,Ruta B,Antofagasta,Antofagasta,Norte
S00153,2024-02-24 19:17:00,MAQ010,CLIENTE038,P003,Agua Mineral,Bebida,900,1,900,Tarjeta,Ruta A,Antofagasta,Antofagasta,Norte
S00154,2024-04-20 06:05:00,MAQ012,CLIENTE033,P004,Papas Fritas,Snack,1500,2,3000,Efectivo,Ruta C,Región Metropolitana,Santiago,Centro
S00155,2024-03-11 01:52:00,MAQ004,CLIENTE009,P003,Agua Mineral,Bebida,900,3,2700,Tarjeta,Ruta D,Valparaíso,Viña del Mar,Costa
S00156,2024-09-21 17:36:00,MAQ006,CLIENTE040,P005,Barra de Cereal,Snack,800,1,800,Efectivo,Ruta B,Biobío,Concepción,Sur
S00157,2024-04-21 13:39:00,MAQ013,CLIENTE003,P008,Energética,Bebida,1600,3,4800,Tarjeta,Ruta D,Antofagasta,Antofagasta,Norte
S00158,2024-09-19 10:53:00,MAQ009,CLIENTE026,P010,Chocolate,Snack,1700,3,5100,Tarjeta,Ruta A,Valparaíso,Viña del Mar,Costa
S00159,2024-02-24 17:44:00,MAQ019,CLIENTE037,P010,Chocolate,Snack,1700,2,3400,Tarjeta,Ruta E,Biobío,Concepción,Sur
S00160,2024-02-17 00:35:00,MAQ002,CLIENTE030,P006,Galletas,Snack,1000,3,3000,Tarjeta,Ruta E,Valparaíso,Viña del Mar,Costa
S00161,2024-09-06 01:12:00,MAQ015,CLIENTE033,P007,Café en lata,Bebida,1300,2,2600,Tarjeta,Ruta C,Valparaíso,Viña del Mar,Costa
S00162,2024-06-15 18:11:00,MAQ004,CLIENTE044,P008,Energética,Bebida,1600,2,3200,Tarjeta,Ruta A,Región Metropolitana,Santiago,Centro
S00163,2024-04-07 00:04:00,MAQ002,CLIENTE042,P008,Energética,Bebida,1600,1,1600,QR,Ruta A,Antofagasta,Antofagasta,Norte
S00164,2024-03-18 10:15:00,MAQ004,CLIENTE019,P004,Papas Fritas,Snack,1500,1,1500,Efectivo,Ruta B,Biobío,Concepción,Sur
S00165,2024-08-14 10:28:00,MAQ007,CLIENTE042,P004,Papas Fritas,Snack,1500,3,4500,Tarjeta,Ruta D,Valparaíso,Viña del Mar,Costa
S00166,2024-04-23 04:47:00,MAQ011,CLIENTE028,P008,Energética,Bebida,1600,3,4800,Tarjeta,Ruta C,Valparaíso,Viña del Mar,Costa
S00167,2024-12-07 17:29:00,MAQ002,CLIENTE032,P001,Coca-Cola,Bebida,1200,2,2400,QR,Ruta E,Región Metropolitana,Santiago,Centro
S00168,2024-04-27 04:53:00,MAQ011,CLIENTE044,P007,Café en lata,Bebida,1300,1,1300,Efectivo,Ruta B,Araucanía,Temuco,Sur
S00169,2024-11-25 02:40:00,MAQ009,CLIENTE017,P006,Galletas,Snack,1000,3,3000,Tarjeta,Ruta B,Región Metropolitana,Santiago,Centro
S00170,2024-03-15 01:19:00,MAQ019,CLIENTE020,P002,Pepsi,Bebida,1100,1,1100,Efectivo,Ruta A,Biobío,Concepción,Sur
